出表日期,報告年度,公司代號,公司名稱,使用率(再生能源/總能源),資料範圍,取得驗證,date
1150513,113,1417,嘉裕,N/A,N/A,N/A,2026-05-15
1150513,113,1418,東華,N/A,N/A,N/A,2026-05-15
1150513,113,1419,新紡,N/A,N/A,N/A,2026-05-15
1150513,113,1423,利華,N/A,N/A,N/A,2026-05-15
1150513,113,1432,大魯閣,N/A,N/A,N/A,2026-05-15
1150513,113,1434,福懋,9.0900%,包含合併財務報表之母子公司,ISO 50001,2026-05-15
1150513,113,1435,中福,N/A,N/A,N/A,2026-05-15
1150513,113,1436,華友聯,N/A,N/A,N/A,2026-05-15
1150513,113,1437,勤益控,N/A,N/A,N/A,2026-05-15
1150513,113,1438,三地開發,N/A,N/A,N/A,2026-05-15
1150513,113,1439,雋揚,N/A,N/A,N/A,2026-05-15
1150513,113,1440,南紡,0.8352%,僅母公司,ISO 50001,2026-05-15
1150513,113,1441,大東,N/A,N/A,N/A,2026-05-15
1150513,113,1442,名軒,N/A,N/A,N/A,2026-05-15
1150513,113,1443,立益物流,N/A,N/A,N/A,2026-05-15
1150513,113,1444,力麗,N/A,N/A,N/A,2026-05-15
1150513,113,1445,大宇,N/A,N/A,N/A,2026-05-15
1150513,113,1446,宏和,N/A,N/A,N/A,2026-05-15
1150513,113,1447,力鵬,N/A,N/A,N/A,2026-05-15
1150513,113,1449,佳和,N/A,N/A,N/A,2026-05-15
1150513,113,1451,年興,N/A,N/A,N/A,2026-05-15
1150513,113,1452,宏益,0.0000%,已完成母公司,N/A,2026-05-15
1150513,113,1453,大將,N/A,N/A,N/A,2026-05-15
1150513,113,1454,台富,1.5000%,母公司,N/A,2026-05-15
1150513,113,1455,集盛,N/A,N/A,N/A,2026-05-15
1150513,113,1456,怡華,N/A,N/A,N/A,2026-05-15
1150513,113,1457,宜進,N/A,N/A,N/A,2026-05-15
1150513,113,1459,聯發,N/A,N/A,N/A,2026-05-15
1150513,113,1460,宏遠,0.4916%,母公司,ISO 50001,2026-05-15
1150513,113,1463,強盛新,N/A,N/A,N/A,2026-05-15
1150513,113,1464,得力,N/A,N/A,ISO 50001,2026-05-15
1150513,113,1465,偉全,N/A,N/A,N/A,2026-05-15
1150513,113,1466,聚隆,1.3742%,母公司,ISO 50001,2026-05-15
1150513,113,1467,南緯,N/A,N/A,N/A,2026-05-15
1150513,113,1468,昶和,N/A,N/A,N/A,2026-05-15
1150513,113,1470,大統新創,N/A,N/A,N/A,2026-05-15
1150513,113,1471,首利,N/A,N/A,N/A,2026-05-15
1150513,113,1472,三洋實業,N/A,N/A,N/A,2026-05-15
1150513,113,1473,台南,N/A,N/A,N/A,2026-05-15
1150513,113,1474,弘裕,N/A,N/A,N/A,2026-05-15
1150513,113,1475,業旺,N/A,N/A,N/A,2026-05-15
1150513,113,1476,儒鴻,1.9137%,包含合併財務報表之母子公司,ISO 50001,2026-05-15
1150513,113,1477,聚陽,50.0000%,包含合併財務報表之母子公司,ISAE3000,2026-05-15
1150513,113,1503,士電,1.0000%,採營運控制法，涵蓋台灣地區之辦公室、電裝廠、重電廠、新豐廠、案場以及合併報表子公司涵蓋大陸地區、越南、美國及菲律賓之子公司、分公司、辦事處／聯絡處。,N/A,2026-05-15
1150513,113,1504,東元,15.7300%,生產型台灣地區、大陸/越南地區、美國地區 、義大利地區及銷售型據點佔全集團營收佔比84.3%,N/A,2026-05-15
1150513,113,1506,正道,0.0000%,"包含合併財務報表之母子公司
",N/A,2026-05-15
1150513,113,1512,瑞利,N/A,N/A,N/A,2026-05-15
1150513,113,1513,中興電,0.0000%,母公司,N/A,2026-05-15
1150513,113,1514,亞力,8.0400%,本公司以下營運據點：亞力電機股份有限公司新莊廠、亞力電機股份有限公司楊梅廠、亞力電機股份有限公司總公司,N/A,2026-05-15
1150513,113,1515,力山,19.4027%,母公司+子公司力山科技,N/A,2026-05-15
1150513,113,1516,川飛,N/A,N/A,N/A,2026-05-15
1150513,113,1517,利奇,14.6315%,母公司,N/A,2026-05-15
1150513,113,1519,華城,0.0000%,合併財務報表之母子公司,ISO 50001,2026-05-15
1150513,113,1521,大億,N/A,N/A,N/A,2026-05-15
1150513,113,1522,堤維西,N/A,N/A,N/A,2026-05-15
1150513,113,1524,耿鼎,N/A,N/A,N/A,2026-05-15
1150513,113,1525,江申,N/A,N/A,N/A,2026-05-15
1150513,113,1526,日馳,N/A,N/A,N/A,2026-05-15
1150513,113,1527,鑽全,0.3038%,鑽全個體公司重要營運據點,N/A,2026-05-15
1150513,113,1528,恩德,N/A,N/A,N/A,2026-05-15
1150513,113,1529,樂事綠能,N/A,N/A,N/A,2026-05-15
1150513,113,1530,亞崴,N/A,N/A,ISO 50001,2026-05-15
1150513,113,1531,高林股,34.2400%,工廠使用的能源主要包括設備用能、電力使用、公務車及堆高機用能，而總公司主要能耗為電力使用。,N/A,2026-05-15
1150513,113,1532,勤美,4.1000%,勤美金屬成型事業處、蘇州勤美達精密機械有限公司(CMS)、勤威(天津)工業有限公司(CMW)、蘇州勤堡精密機械有限公司(CMB)及勤美達（武漢）精密機械有限公司(CMH),ISO 50001,2026-05-15
1150513,113,1533,車王電,N/A,N/A,N/A,2026-05-15
1150513,113,1535,中宇,N/A,N/A,N/A,2026-05-15
1150513,113,1536,和大,7.8700%,僅母公司,ISO 50001,2026-05-15
1150513,113,1537,廣隆,0.8908%,包含合併財務報表之母子公司,N/A,2026-05-15
1150513,113,1538,正峰,N/A,N/A,N/A,2026-05-15
1150513,113,1539,巨庭,N/A,N/A,N/A,2026-05-15
1150513,113,1540,喬福,N/A,N/A,N/A,2026-05-15
1150513,113,1541,錩泰,N/A,N/A,N/A,2026-05-15
1150513,113,1558,伸興,N/A,N/A,ISO 50001,2026-05-15
1150513,113,1560,中砂,5.9700%,再生能源資料僅母公司	,ISO 50001,2026-05-15
1150513,113,1563,巧新,0.8600%,僅母公司,ISO 50001,2026-05-15
1150513,113,1568,倉佑,0.0000%, 目前無使用,N/A,2026-05-15
1150513,113,1582,信錦,N/A,N/A,N/A,2026-05-15
1150513,113,1583,程泰,N/A,N/A,ISO 50001,2026-05-15
1150513,113,1587,吉茂,N/A,N/A,N/A,2026-05-15
1150513,113,1589,永冠-KY,2.6200%,合併財務報表之母子公司,ISO 50001,2026-05-15
1150513,113,1590,亞德客-KY,3.2665%,考量揭露訊息之重大性以及實際管理需求，涵蓋主要銷售據點、主要生產基地和營運總部，合計揭露比重佔 2024 年合併營業收入達96%，亦達2024年度生產產值100%。,N/A,2026-05-15
1150513,113,1597,直得,20.0000%,樹谷廠,N/A,2026-05-15
1150513,113,1598,岱宇,N/A,N/A,N/A,2026-05-15
1150513,113,1603,華電,0.0000%,新莊廠、新屋廠,N/A,2026-05-15
1150513,113,1604,聲寶,0.2000%,生產線上,ISO 50001,2026-05-15
1150513,113,1605,華新,10.6000%,"本公司不銹鋼事業單位（鹽水廠、臺中廠、煙台華新、常熟華新、江陰合金、華新精密科技、CAS ）
",ISO 50001,2026-05-15
1150513,113,1608,華榮,N/A,N/A,N/A,2026-05-15
1150513,113,1609,大亞,1.4642%,大亞公司(個體),ISO 50001,2026-05-15
1150513,113,1611,中電,N/A,N/A,N/A,2026-05-15
1150513,113,1612,宏泰,0.0000%,包含合併財務報表之母子公司,N/A,2026-05-15
1150513,113,1614,三洋電,N/A,N/A,N/A,2026-05-15
1150513,113,1615,大山,N/A,N/A,N/A,2026-05-15
1150513,113,1616,億泰,N/A,N/A,N/A,2026-05-15
1150513,113,1617,榮星,N/A,N/A,N/A,2026-05-15
1150513,113,1618,合機,N/A,N/A,N/A,2026-05-15
1150513,113,1626,艾美特-KY,N/A,N/A,N/A,2026-05-15
1150513,113,1702,南僑,1.0000%,台灣、中國大陸、泰國地區之製造單位 ,ISO 50001,2026-05-15
1150513,113,1707,葡萄王,1.7000%,葡萄王生技股份有限公司、葡眾企業股份有限公司、溢昭股份有限公司、上海葡萄王企業有限公司,ISO 50001,2026-05-15
1150513,113,1708,東鹼,0.0000%,東南實業股份有限公司,N/A,2026-05-15
1150513,113,1709,和益,0.1800%,母公司和益及子公司聯超、和協,"ISO 50001,確信準則3000號",2026-05-15
1150513,113,1710,東聯,1.8000%,高雄林園廠,ISO 50001,2026-05-15
1150513,113,1711,永光,0.2423%,ISO 50001桃園第一廠至第四廠及子公司全通科技,ISO 50001,2026-05-15
1150513,113,1712,興農,0.0000%,母公司王田廠、王田二廠、王田三廠、生物工廠、大肚廠、彰濱廠,N/A,2026-05-15
1150513,113,1713,國化,N/A,N/A,N/A,2026-05-15
1150513,113,1714,和桐,N/A,N/A,N/A,2026-05-15
1150513,113,1717,長興,5.7200%,台灣、大陸、馬來西亞、美國、日本、義大利、泰國等工廠及高雄公司、北區營業所、中區營業所、韓國、越南等辦事處等。,ISO 50001,2026-05-15
1150513,113,1718,中纖,N/A,N/A,ISO 50001,2026-05-15
1150513,113,1720,生達,7.4932%,生達一廠+生達二廠,N/A,2026-05-15
1150513,113,1721,三晃,N/A,N/A,確信準則3000號,2026-05-15
1150513,113,1722,台肥,0.0000%,台肥母公司之台中廠、苗栗廠、花蓮廠,ISO 50001,2026-05-15
1150513,113,1723,中碳,0.0000%,母公司,ISO 50001,2026-05-15
1150513,113,1725,元禎,N/A,N/A,N/A,2026-05-15
1150513,113,1726,永記,N/A,N/A,N/A,2026-05-15
1150513,113,1727,中華化,N/A,N/A,N/A,2026-05-15
1150513,113,1730,花仙子,12.8990%,台灣花仙子(包含台北、台中、高雄辦公室)及蘇州太倉廠,N/A,2026-05-15
1150513,113,1731,美吾華,N/A,N/A,N/A,2026-05-15
1150513,113,1732,毛寶,N/A,N/A,N/A,2026-05-15
1150513,113,1733,五鼎,N/A,N/A,N/A,2026-05-15
1150513,113,1734,杏輝,N/A,N/A,N/A,2026-05-15
1150513,113,1735,日勝化,0.4367%,僅母公司,N/A,2026-05-15
1150513,113,1736,喬山,N/A,N/A,N/A,2026-05-15
1150513,113,1737,臺鹽,N/A,N/A,ISO 50001,2026-05-15
1150513,113,1752,南光,N/A,N/A,N/A,2026-05-15
1150513,113,1760,寶齡富錦,N/A,N/A,N/A,2026-05-15
1150513,113,1762,中化生,N/A,N/A,N/A,2026-05-15
1150513,113,1773,勝一,N/A,N/A,N/A,2026-05-15
1150513,113,1776,展宇,N/A,N/A,N/A,2026-05-15
1150513,113,1783,和康生,N/A,N/A,N/A,2026-05-15
1150513,113,1786,科妍,N/A,N/A,N/A,2026-05-15
1150513,113,1789,神隆,0.4650%,僅母公司,N/A,2026-05-15
1150513,113,1795,美時,N/A,N/A,N/A,2026-05-15
1150513,113,1802,台玻,N/A,N/A,ISO 50001,2026-05-15
1150513,113,1805,寶徠,N/A,N/A,N/A,2026-05-15
1150513,113,1806,冠軍,N/A,N/A,ISO 50001,2026-05-15
1150513,113,1808,潤隆,N/A,N/A,N/A,2026-05-15
1150513,113,1809,中釉,N/A,N/A,N/A,2026-05-15
1150513,113,1810,和成,N/A,N/A,ISO 50001,2026-05-15
1150513,113,1817,凱撒衛,N/A,N/A,N/A,2026-05-15
1150513,113,1903,士紙,N/A,N/A,N/A,2026-05-15
1150513,113,1904,正隆,0.0403%,母公司,ISO 50001,2026-05-15
1150513,113,1905,華紙,45.4300%,台灣(觀音廠、久堂廠、花蓮廠、台東廠)及中國鼎豐,ISO 50001,2026-05-15
1150513,113,1906,寶隆,N/A,N/A,N/A,2026-05-15
1150513,113,1907,永豐餘,40.6474%,永豐餘林漿紙、工紙紙器、消費品三大事業群之台灣生產據點。可再生能源包含沼氣、木質素黑液、樹皮、廢木材、木片、木屑、SRF、回收紙渣、廢膠片、餘泥，及太陽能等。,ISO 50001,2026-05-15
1150513,113,1909,榮成,N/A,N/A,ISO 50001,2026-05-15
1150513,113,2002,中鋼,0.0670%,母公司,ISO 50001,2026-05-15
1150513,113,2006,東和鋼鐵,3.0800%,母公司,ISO 50001,2026-05-15
1150513,113,2007,燁興,1.0100%,本公司,ISO 50001,2026-05-15
1150513,113,2008,高興昌,N/A,N/A,N/A,2026-05-15
1150513,113,2009,第一銅,0.0000%,第一伸銅科技股份有限公司臨海廠,N/A,2026-05-15
1150513,113,2010,春源,3.0802%,僅母公司,N/A,2026-05-15
1150513,113,2012,春雨,N/A,N/A,N/A,2026-05-15
1150513,113,2013,中鋼構,N/A,N/A,N/A,2026-05-15
1150513,113,2014,中鴻,2.6738%,113/1/1~113/12/31(全公司再生能源使用量/全公司總用電量),ISO 50001,2026-05-15
1150513,113,2015,豐興,1.1300%,包含合併財務報表之母子公司,N/A,2026-05-15
1150513,113,2017,官田鋼,0.2900%,總公司+麻豆廠+加工廠,N/A,2026-05-15
1150513,113,2020,美亞,N/A,N/A,N/A,2026-05-15
1150513,113,2022,聚亨,N/A,N/A,N/A,2026-05-15
1150513,113,2023,燁輝,0.4455%,母公司,ISO 50001,2026-05-15
1150513,113,2024,志聯,N/A,N/A,ISO 50001,2026-05-15
1150513,113,2025,千興,N/A,N/A,N/A,2026-05-15
1150513,113,2027,大成鋼,0.0000%,合併財務報表之母子公司,N/A,2026-05-15
1150513,113,2028,威致,N/A,N/A,N/A,2026-05-15
1150513,113,2029,盛餘,0.6792%,僅母公司,ISO 50001,2026-05-15
1150513,113,2030,彰源,N/A,N/A,N/A,2026-05-15
1150513,113,2031,新光鋼,N/A,N/A,ISO 50001,2026-05-15
1150513,113,2032,新鋼,0.0000%,母公司,N/A,2026-05-15
1150513,113,2033,佳大,N/A,N/A,N/A,2026-05-15
1150513,113,2034,允強,N/A,N/A,N/A,2026-05-15
1150513,113,2038,海光,2.1741%,包含合併財務報表之母子公司，僅母公司小港廠已驗證,ISO 50001,2026-05-15
1150513,113,2049,上銀,1.9359%,上銀科技母公司所有營運據點,ISO 50001,2026-05-15
1150513,113,2059,川湖,N/A,N/A,N/A,2026-05-15
1150513,113,2062,橋椿,3.2157%,範疇一+二,ISO 50001,2026-05-15
1150513,113,2069,運錩,N/A,N/A,N/A,2026-05-15
1150513,113,2101,南港,6.4200%,包含合併財務報表之母子公司,N/A,2026-05-15
1150513,113,2102,泰豐,N/A,N/A,N/A,2026-05-15
1150513,113,2103,台橡,7.5469%,已完成合併財務報表之母子公司,ISO 50001,2026-05-15
1150513,113,2104,國際中橡,0.7300%,合併財務報表之母子公司,ISO 50001,2026-05-15
1150513,113,2105,正新,1.2900%,台灣正新,ISO 50001,2026-05-15
1150513,113,2106,建大,1.4983%,"雲林廠
",ISO 50001,2026-05-15
1150513,113,2107,厚生,32.5020%,母公司,N/A,2026-05-15
1150513,113,2108,南帝,1.9059%,僅母公司,N/A,2026-05-15
1150513,113,2109,華豐,N/A,N/A,N/A,2026-05-15
1150513,113,2114,鑫永銓,1.0400%,母公司,ISO 50001,2026-05-15
1150513,113,2115,六暉-KY,N/A,N/A,N/A,2026-05-15
1150513,113,2201,裕隆,5.6067%,裕隆汽車母公司個體營運據點(三義廠區),ISO 50001,2026-05-15
1150513,113,2204,中華,3.2400%,楊梅廠與新竹廠,ISO 50001,2026-05-15
1150513,113,2206,三陽工業,N/A,N/A,ISO 50001,2026-05-15
1150513,113,2207,和泰車,4.3619%,和泰母公司,N/A,2026-05-15
1150513,113,2208,台船,3.8000%,台船公司高雄廠區、基隆廠區,N/A,2026-05-15
1150513,113,2211,長榮鋼,N/A,N/A,ISO 50001,2026-05-15
1150513,113,2227,裕日車,N/A,N/A,N/A,2026-05-15
1150513,113,2228,劍麟,N/A,N/A,N/A,2026-05-15
1150513,113,2231,為升,N/A,N/A,N/A,2026-05-15
1150513,113,2233,宇隆,0.0000%,母公司,N/A,2026-05-15
1150513,113,2236,百達-KY,N/A,N/A,N/A,2026-05-15
1150513,113,2239,英利-KY,N/A,N/A,N/A,2026-05-15
1150513,113,2241,艾姆勒,0.0000%,母公司,N/A,2026-05-15
1150513,113,2243,宏旭-KY,N/A,N/A,N/A,2026-05-15
1150513,113,2247,汎德永業,0.0000%,合併財務報表之母子公司,N/A,2026-05-15
1150513,113,2248,華勝-KY,N/A,N/A,N/A,2026-05-15
1150513,113,2250,IKKA-KY,N/A,N/A,N/A,2026-05-15
1150513,113,2254,巨鎧精密-創,N/A,N/A,N/A,2026-05-15
1150513,113,2258,鴻華先進-創,0.2800%,已完成合併財務報表之母子公司,確信準則3000號非屬歷史性財務資訊查核或核閱之確信案件,2026-05-15
1150513,113,2301,光寶科,33.9000%,母公司及部分重要生產據點子公司,ISO 50001,2026-05-15
1150513,113,2302,麗正,N/A,N/A,N/A,2026-05-15
1150513,113,2303,聯電,16.1100%,"母公司、子公司和艦、聯芯、聯穎、USJC(再生能源使用率依SASB準則定義，以再生能源/總能源比例計算；若以再生能源/總用電比例計算則為17.1%)
",ISO 50001,2026-05-15
1150513,113,2305,全友,N/A,N/A,N/A,2026-05-15
1150513,113,2308,台達電,84.0000%,"全球營運據點電力數據
",ISO 50001,2026-05-15
1150513,113,2312,金寶,8.5000%,合併財務報表之母子公司,ISO 50001,2026-05-15
1150513,113,2313,華通,33.1000%,全企業的電力數據,ISO 50001,2026-05-15
1150513,113,2314,台揚,4.0000%,台灣新竹廠,N/A,2026-05-15
1150513,113,2316,楠梓電,N/A,N/A,ISO 50001,2026-05-15
1150513,113,2317,鴻海,72.1351%,合併財務報表之母子公司,ISO 50001,2026-05-15
1150513,113,2321,東訊,N/A,N/A,N/A,2026-05-15
1150513,113,2323,中環,N/A,N/A,N/A,2026-05-15
1150513,113,2324,仁寶,45.1500%,個體財報邊界 ,ISO 50001,2026-05-15
1150513,113,2327,國巨,0.4561%,母公司,N/A,2026-05-15
1150513,113,2328,廣宇,0.0000%,母公司,N/A,2026-05-15
1150513,113,2329,華泰,0.8600%,母公司,ISO 50001,2026-05-15
1150513,113,2330,台積電,14.1462%,台積公司全球辦公室、海內外營運廠區、采鈺公司,ISO 50001,2026-05-15
1150513,113,2331,精英,0.0000%,精英電腦臺灣總部,ISO 50001,2026-05-15
1150513,113,2332,友訊,3.6000%,公司總部大樓,N/A,2026-05-15
1150513,113,2337,旺宏,1.9100%,本公司,N/A,2026-05-15
1150513,113,2338,光罩,N/A,N/A,N/A,2026-05-15
1150513,113,2340,台亞,0.6600%,"2024年太陽能使用量/2024年創新廠及力行廠電力使用量
(570,975 kWh/85419200  kWh)*100",N/A,2026-05-15
1150513,113,2342,茂矽,1.3077%,僅母公司,N/A,2026-05-15
1150513,113,2344,華邦電,5.9000%,母公司,ISO 50001,2026-05-15
1150513,113,2345,智邦,N/A,N/A,ISO 50001,2026-05-15
1150513,113,2347,聯強,N/A,N/A,N/A,2026-05-15
1150513,113,2348,海悅,N/A,N/A,N/A,2026-05-15
1150513,113,2349,錸德,0.0450%,僅母公司,N/A,2026-05-15
1150513,113,2351,順德,N/A,N/A,ISO 50001,2026-05-15
1150513,113,2352,佳世達,36.7000%,台灣、蘇州、越南,ISO 50001,2026-05-15
1150513,113,2353,宏碁,60.0000%,含合併財務報表之母子公司,ISO 50001,2026-05-15
1150513,113,2354,鴻準,39.6916%,大陸主要營運據點(煙臺、太原、佛山、昆山、南寧),ISO 50001,2026-05-15
1150513,113,2355,敬鵬,0.1304%,台灣廠區+常熟廠區+泰國廠區,N/A,2026-05-15
1150513,113,2356,英業達,37.2100%,"個體公司：英業達股份有限公司，含士林總部 (IET)、桃科廠(TAO)、桃園電腦廠 (ITO)
合併報表子公司：英業達(重慶)有限公司(ICC)、英業達科技有限公司(IPT)、上海順詮科技有限公司(SQT)、Inventec (Czech) S.R.O(ICZ)、IEC Technologies, S. de R.L. De C.V.(IMXIMP)、Inventec Electronics (Thailand) Co.,Ltd. (ITH)
",ISO 50001,2026-05-15
1150513,113,2357,華碩,55.0000%,"華碩全球營運據點
",ISO 50001,2026-05-15
1150513,113,2359,所羅門,N/A,N/A,N/A,2026-05-15
1150513,113,2360,致茂,0.2435%,母公司及台灣所屬廠區,N/A,2026-05-15
1150513,113,2362,藍天,12.6500%,昆山工廠,ISO 50001,2026-05-15
1150513,113,2363,矽統,N/A,N/A,N/A,2026-05-15
1150513,113,2364,倫飛,N/A,N/A,N/A,2026-05-15
1150513,113,2365,昆盈,0.0000%,台北總公司及東莞廠,N/A,2026-05-15
1150513,113,2367,燿華,0.0000%,母公司,ISO 50001,2026-05-15
1150513,113,2368,金像電,30.1995%,合併財務報表之母子公司,ISO 50001,2026-05-15
1150513,113,2369,菱生,0.1310%,菱生T1~T6廠及T6宿舍,N/A,2026-05-15
1150513,113,2371,大同,0.3187%,總公司、大園廠、桃園電線電纜廠、桃園壹廠、電表中心、三峽廠,ISO 50001,2026-05-15
1150513,113,2373,震旦行,N/A,N/A,N/A,2026-05-15
1150513,113,2374,佳能,0.0567%,佳能企業股份有限公司,N/A,2026-05-15
1150513,113,2375,凱美,N/A,N/A,N/A,2026-05-15
1150513,113,2376,技嘉,0.0000%,技嘉科技營運總部、臺北矽谷園區辦公室、桃園南平廠、中國東莞廠和中國寧波廠，其中營運總部涵蓋子公司技鋼科技，臺北矽谷園區辦公室涵蓋子公司百事益國際、盈嘉科技、智力精密工業及孫公司技宸,N/A,2026-05-15
1150513,113,2377,微星,83.2000%,微星科技股份有限公司中和廠(微星台北)、微星科技股份有限公司桃園廠(微星桃園)、恩斯邁電子(深圳)有限公司(恩斯邁電子)及微盟電子(昆山)有限公司(微盟電子),"ISO 50001,ISO 14064-1",2026-05-15
1150513,113,2379,瑞昱,2.3119%,瑞昱國內據點,ISO 50001,2026-05-15
1150513,113,2380,虹光,N/A,N/A,N/A,2026-05-15
1150513,113,2382,廣達,47.5100%,"包含母公司；QSMC廣達上海製造城、QCMC廣達重慶製造城、QMB Co, Ltd.、QMH Computer CO. Ltd.、QCG Computer GMBH、Quanta Mexico Manufacture Center、Quanta Manufacturing Fremont、Quanta Manufacturing Nashville",ISO 50001,2026-05-15
1150513,113,2383,台光電,0.9000%,子公司台光電子材料(昆山)股份有限公司、中山台光電子材料有限公司、台光電子材料(黃石)有限公司,ISO 50001,2026-05-15
1150513,113,2385,群光,43.9823%,"再生能源使用率計算邊界：群光電子海內外所有據點，不含上市子公司群光電能所有據點、不含上市子公司展達通訊所有據點
取得ISO50001之據點：台北總公司、清溪廠、茂瑞廠、吳江廠、重慶廠、泰國廠",ISO 50001,2026-05-15
1150513,113,2387,精元,N/A,N/A,N/A,2026-05-15
1150513,113,2388,威盛,N/A,N/A,N/A,2026-05-15
1150513,113,2390,云辰,N/A,N/A,N/A,2026-05-15
1150513,113,2392,正崴,55.4000%,正崴主要生產廠區,ISO 50001,2026-05-15
1150513,113,2393,億光,1.5737%,樹林總部、苗栗苑裡、苗栗銅鑼、蘇州吳江、廣東中山,N/A,2026-05-15
